Symbol,type,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
AFL,stocks,20240219205139,$80.17,2/20/2024,0.020955469627042533,,11/01/2023,2.0,Accident &Health Insurance,,
MRO,stocks,20240219205140,$23.24,2/20/2024,0.0189328743545611,,1/31/2024,0.44,Oil & Gas Production,,
LTC,stocks,20240219205142,$31.47,2/20/2024,0.07244995233555768,,1/02/2024,2.28,Real Estate Investment Trusts,,
YUM,stocks,20240219205143,$135.40,2/20/2024,0.017872968980797637,,1/24/2024,2.68,Restaurants,,
DHT,stocks,20240219205145,$11.68,2/20/2024,0.06506849315068493,,2/06/2024,0.88,Marine Transportation,,
BGH,stocks,20240219205146,$14.17,2/20/2024,0.08942836979534229,,12/12/2023,1.2672,Investment Managers,,
PRI,stocks,20240219205148,$244.89,2/20/2024,0.010617011719547553,,2/08/2024,3.0,Life Insurance,,
MPC,stocks,20240219205149,$171.31,2/20/2024,0.01926332379896095,,1/26/2024,3.3,Integrated oil Companies,,
XYL,stocks,20240219205151,$124.42,2/20/2024,0.01060922681240958,,2/06/2024,1.44,Fluid Controls,,
ARDC,stocks,20240219205152,$13.68,2/20/2024,0.10307017543859649,,2/09/2024,1.41,Investment Managers,,
ENR,stocks,20240219205154,$30.64,2/20/2024,0.03916449086161879,,1/29/2024,1.2,Industrial Machinery/Components,,
HRI,stocks,20240219205155,$150.64,2/20/2024,0.016795007966011685,,2/07/2024,2.66,Misc Corporate Leasing Services,,
GTMEY,stocks,20240219205203,$27.87,2/20/2024,0.04237804090419806,,N/A,1.1786,N/A,,
AMAT,stocks,20240219205205,$187.66,2/21/2024,0.006820846211233082,,12/07/2023,1.28,Semiconductors,,
LFUS,stocks,20240219205206,$245.65,2/21/2024,0.010584164461632404,,1/25/2024,2.6,Electrical Products,,
MAR,stocks,20240219205208,$240.49,2/21/2024,0.00864900827477234,,2/08/2024,2.08,Hotels/Resorts,,
META,stocks,20240219205209,$484.03,2/21/2024,N/A,,2/01/2024,0.0,"Computer Software: Programming, Data Processing",,
PAX,stocks,20240219205211,$14.85,2/21/2024,0.05360269360269361,,2/06/2024,0.796,Investment Managers,,
RRR,stocks,20240219205212,$59.16,2/21/2024,0.016903313049357674,,2/07/2024,1.0,Hotels/Resorts,,
VINP,stocks,20240219205214,$11.01,2/21/2024,0.061762034514078114,,2/07/2024,0.68,Investment Managers,,
WMG,stocks,20240219205215,$35.93,2/21/2024,0.018925688839409965,,2/19/2024,0.68,Services-Misc. Amusement & Recreation,,
IAF,stocks,20240219205217,$4.27,2/21/2024,0.10304449648711946,,2/09/2024,0.48,Finance/Investors Services,,
FAX,stocks,20240219205219,$2.70,2/21/2024,0.12222222222222222,,2/09/2024,0.33,Investment Managers,,
FCO,stocks,20240219205220,$5.38,2/21/2024,0.15613382899628253,,2/09/2024,0.84,Investment Managers,,
VFL,stocks,20240219205222,$10.415,2/21/2024,0.04320691310609698,,2/09/2024,0.45,Finance/Investors Services,,
EIM,stocks,20240219205223,$10.395,2/21/2024,0.054025974025974026,,2/01/2024,0.5616,Finance/Investors Services,,
ENX,stocks,20240219205225,$9.77,2/21/2024,0.048393039918116686,,2/01/2024,0.4728,Finance/Investors Services,,
EVM,stocks,20240219205227,$9.46,2/21/2024,0.04858350951374207,,2/01/2024,0.4596,Finance/Investors Services,,
B,stocks,20240219205228,$36.54,2/21/2024,0.01751505199781062,,2/09/2024,0.64,Metal Fabrications,,
MTRN,stocks,20240219205229,$137.46,2/21/2024,0.003782918667248654,,1/31/2024,0.52,Industrial Specialties,,
CEM,stocks,20240219205231,$41.565,2/21/2024,0.07410080596655841,,1/19/2024,3.08,"Trusts, Except Educational, Religious, and Charitable",,
IP,stocks,20240219205232,$35.07,2/21/2024,0.052751639577986884,,1/09/2024,1.85,Paper,,
MAS,stocks,20240219205234,$73.48,2/21/2024,0.01551442569406641,,2/08/2024,1.16,Building Products,,
PAI,stocks,20240219205235,$12.06,2/21/2024,0.048258706467661686,,11/21/2023,0.566,"Trusts, Except Educational, Religious, and Charitable",,
HQH,stocks,20240219205237,$17.36,2/21/2024,0.08755760368663595,,2/09/2024,1.92,Finance Companies,,
MHF,stocks,20240219205238,$6.65,2/21/2024,0.039699248120300755,,11/14/2023,0.264,Finance/Investors Services,,
Symbol,type,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
PFD,stocks,20240219205329,$10.16,2/21/2024,0.06496062992125984,,1/19/2024,0.666,Investment Managers,,
SBI,stocks,20240219205330,$7.92,2/21/2024,0.04696969696969697,,11/14/2023,0.372,Finance/Investors Services,,
PFO,stocks,20240219205331,$8.26,2/21/2024,0.06537530266343826,,1/19/2024,0.5472,Finance Companies,,
HQL,stocks,20240219205333,$14.03,2/21/2024,0.08553100498930863,,2/09/2024,1.56,Investment Managers,,
MMU,stocks,20240219205334,$10.30,2/21/2024,0.048349514563106794,,11/14/2023,0.498,Investment Managers,,
HIO,stocks,20240219205336,$3.97,2/21/2024,0.10730478589420654,,11/14/2023,0.426,Finance/Investors Services,,
IFN,stocks,20240219205337,$20.38,2/21/2024,0.08047105004906771,,2/09/2024,1.72,Finance/Investors Services,,
HIX,stocks,20240219205339,$4.43,2/21/2024,0.1327313769751693,,11/14/2023,0.588,Finance/Investors Services,,
NTG,stocks,20240219205340,$35.63,2/21/2024,0.08644400785854617,,2/07/2024,3.08,Finance Companies,,
WEA,stocks,20240219205342,$11.18,2/21/2024,0.07513416815742396,,11/21/2023,0.84,"Trusts, Except Educational, Religious, and Charitable",,
EHI,stocks,20240219205343,$7.10,2/21/2024,0.11323943661971832,,11/14/2023,0.804,Investment Managers,,
FLC,stocks,20240219205345,$14.96,2/21/2024,0.06697860962566844,,1/19/2024,1.0272,"Trusts, Except Educational, Religious, and Charitable",,
WIA,stocks,20240219205346,$8.06,2/21/2024,0.07444168734491315,,11/21/2023,0.6,"Trusts, Except Educational, Religious, and Charitable",,
EVT,stocks,20240219205348,$22.46,2/21/2024,0.0795013357079252,,2/01/2024,1.7856,Finance Companies,,
EMD,stocks,20240219205349,$9.26,2/21/2024,0.10950323974082074,,11/14/2023,1.014,Finance/Investors Services,,
EFR,stocks,20240219205350,$13.13,2/21/2024,0.11058644325971058,,2/01/2024,1.452,"Trusts, Except Educational, Religious, and Charitable",,
TPX,stocks,20240219205352,$50.59,2/21/2024,0.008697371021941095,,2/08/2024,0.52,Home Furnishings,,
ETG,stocks,20240219205353,$17.74,2/21/2024,0.06771138669673056,,2/01/2024,1.2012,Investment Managers,,
SCD,stocks,20240219205355,$14.17,2/21/2024,0.09569513055751588,,11/14/2023,1.356,"Trusts, Except Educational, Religious, and Charitable",,
TYG,stocks,20240219205356,$29.58,2/21/2024,0.09601081812035159,,2/07/2024,2.84,Investment Managers,,
WIW,stocks,20240219205358,$8.56,2/21/2024,0.08481308411214952,,11/21/2023,0.726,Finance Companies,,
ETO,stocks,20240219205359,$24.47,2/21/2024,0.06738046587658357,,2/01/2024,1.6488,Investment Managers,,
EFT,stocks,20240219205401,$13.35,2/21/2024,,,2/01/2024,1.416,Finance Companies,,
EOI,stocks,20240219205402,$18.01,2/21/2024,0.07295946696279844,,2/01/2024,1.314,Finance/Investors Services,,
EOS,stocks,20240219205404,$20.11,2/21/2024,0.06874191944306315,,2/01/2024,1.3824,"Trusts, Except Educational, Religious, and Charitable",,
EVG,stocks,20240219205405,$10.77,2/21/2024,0.08757660167130919,,2/01/2024,0.9444,Investment Managers,,
ETB,stocks,20240219205407,$13.41,2/21/2024,0.08340044742729306,,2/01/2024,1.1184,Investment Bankers/Brokers/Service,,
ETW,stocks,20240219205408,$8.01,2/21/2024,0.08719101123595506,,2/01/2024,0.6984,Investment Managers,,
GSL,stocks,20240219205410,$20.25,2/21/2024,0.07407407407407407,,2/12/2024,1.5,Marine Transportation,,
ETY,stocks,20240219205411,$13.05,2/21/2024,0.07402298850574712,,2/01/2024,0.966,Finance Companies,,
AWP,stocks,20240219205412,$3.74,2/21/2024,0.1283422459893048,,2/09/2024,0.48,"Trusts, Except Educational, Religious, and Charitable",,
DFS,stocks,20240219205414,$110.72,2/21/2024,0.02528901734104046,,1/17/2024,2.8,Finance: Consumer Services,,
FFC,stocks,20240219205415,$14.14,2/21/2024,0.06916548797736916,,1/19/2024,1.0056,"Trusts, Except Educational, Religious, and Charitable",,
DFP,stocks,20240219205417,$18.52,2/21/2024,0.0673866090712743,,1/19/2024,1.29,Investment Managers,,
EMO,stocks,20240219205418,$36.20,2/21/2024,0.0718232044198895,,1/19/2024,2.68,Investment Managers,,
ETJ,stocks,20240219205420,$8.37,2/21/2024,0.08301075268817205,,2/01/2024,0.6948,Finance Companies,,
BSL,stocks,20240219205421,$13.92,2/21/2024,0.09827586206896552,,12/11/2023,1.368,"Trusts, Except Educational, Religious, and Charitable",,
EOT,stocks,20240219205423,$17.14,2/21/2024,0.043757292882147025,,2/01/2024,0.75,Investment Managers,,
IGI,stocks,20240219205424,$17.06,2/21/2024,0.0488862837045721,,11/14/2023,0.834,Investment Managers,,
TPZ,stocks,20240219205426,$14.44,2/21/2024,0.08725761772853186,,2/07/2024,1.26,Investment Managers,,
GDO,stocks,20240219205427,$12.58,2/21/2024,0.09729729729729729,,11/14/2023,1.224,Finance Companies,,
ETV,stocks,20240219205429,$12.95,2/21/2024,0.08793822393822394,,2/01/2024,1.1388,Investment Bankers/Brokers/Service,,
DMO,stocks,20240219205430,$11.32,2/21/2024,0.127208480565371,,11/14/2023,1.44,"Trusts, Except Educational, Religious, and Charitable",,
HYI,stocks,20240219205432,$12.08,2/21/2024,0.09437086092715231,,11/14/2023,1.14,Investment Managers,,
ACP,stocks,20240219205433,$6.84,2/21/2024,0.17543859649122806,,2/09/2024,1.2,Investment Managers,,
BGX,stocks,20240219205435,$12.00,2/21/2024,0.103,,12/11/2023,1.236,"Trusts, Except Educational, Religious, and Charitable",,
AFT,stocks,20240219205436,$13.96,2/21/2024,0.11776504297994268,,2/09/2024,1.644,Investment Managers,,
TTP,stocks,20240219205437,$29.3306,2/21/2024,0.08046204305401185,,2/07/2024,2.36,"Trusts, Except Educational, Religious, and Charitable",,
BWG,stocks,20240219205439,$8.34,2/21/2024,0.11510791366906474,,11/14/2023,0.96,Finance/Investors Services,,
RM,stocks,20240219205440,$23.97,2/21/2024,0.05006257822277847,,2/07/2024,1.2,Finance: Consumer Services,,
CTR,stocks,20240219205442,$37.86,2/21/2024,0.07395668251452721,,1/19/2024,2.8,Investment Managers,,
Symbol,type,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
NDP,stocks,20240219205532,$29.62,2/21/2024,0.08507765023632681,,2/07/2024,2.52,Finance/Investors Services,,
BGB,stocks,20240219205534,$11.65,2/21/2024,0.09682403433476394,,12/11/2023,1.128,"Trusts, Except Educational, Religious, and Charitable",,
AIF,stocks,20240219205535,$14.83,2/21/2024,0.10761968981793663,,2/09/2024,1.596,Finance Companies,,
ETX,stocks,20240219205537,$17.95,2/21/2024,0.05227855153203343,,2/01/2024,0.9384,Investment Bankers/Brokers/Service,,
AOD,stocks,20240219205538,$8.11,2/21/2024,0.08508014796547472,,2/09/2024,0.69,Investment Managers,,
AGD,stocks,20240219205540,$9.45,2/21/2024,0.08253968253968255,,2/09/2024,0.78,"Trusts, Except Educational, Religious, and Charitable",,
EXG,stocks,20240219205542,$7.96,2/21/2024,0.08336683417085426,,2/01/2024,0.6636,Finance Companies,,
JEQ,stocks,20240219205543,$6.16,2/21/2024,0.06493506493506494,,2/09/2024,0.44,Air Freight/Delivery Services,,
THQ,stocks,20240219205545,$19.47,2/21/2024,0.06933744221879816,,2/09/2024,2.16,Finance Companies,,
HIE,stocks,20240219205546,$10.52,2/21/2024,0.05817490494296578,,1/02/2024,0.612,"Trusts, Except Educational, Religious, and Charitable",,
THW,stocks,20240219205548,$12.62,2/21/2024,0.11096671949286847,,2/09/2024,1.4004,Finance Companies,,
BTU,stocks,20240219205549,$24.63,2/21/2024,0.012180267965895249,,2/08/2024,0.3,Coal Mining,,
KNTK,stocks,20240219205551,$33.21,2/21/2024,0.09033423667570009,,1/24/2024,3.0,Oil & Gas Production,,
HFRO,stocks,20240219205553,$6.50,2/21/2024,0.07107692307692308,,2/01/2024,0.462,Finance/Investors Services,,
HGLB,stocks,20240219205554,$8.06,2/21/2024,0.12059553349875929,,1/02/2024,0.972,"Trusts, Except Educational, Religious, and Charitable",,
TEAF,stocks,20240219205556,$11.34,2/21/2024,0.09523809523809525,,11/09/2023,1.08,"Trusts, Except Educational, Religious, and Charitable",,
ASGI,stocks,20240219205557,$17.27,2/21/2024,0.11117544875506659,,2/09/2024,1.8,Investment Managers,,
AOMR,stocks,20240219205559,$10.90,2/21/2024,0.11743119266055045,,2/07/2024,1.28,Real Estate Investment Trusts,,
WDI,stocks,20240219205600,$14.60,2/21/2024,0.11753424657534246,,11/14/2023,1.716,"Trusts, Except Educational, Religious, and Charitable",,
FSCO,stocks,20240219205602,$5.88,2/21/2024,0.1163265306122449,,2/09/2024,0.684,"Trusts, Except Educational, Religious, and Charitable",,
AESI,stocks,20240219205604,$17.77,2/21/2024,N/A,,2/08/2024,0.84,Metal Fabrications,,
AZNCF,stocks,20240219205605,$124.00,2/21/2024,0.015000000000000001,,N/A,3.94,N/A,,
INPAP,stocks,20240219205607,$66.00,2/21/2024,0.06060606060606061,,1/09/2024,4.0,N/A,,
ECTM,stocks,20240219205609,$0.5096,2/21/2024,0.04709576138147566,,2/12/2024,0.12,N/A,,
UNLYF,stocks,20240219205610,$50.625,2/21/2024,0.0358637037037037,,N/A,1.8328,N/A,,
AGLXY,stocks,20240219205612,$5.55,2/21/2024,0.03854594594594595,,N/A,0.1975,N/A,,
AZN,stocks,20240219205614,$62.84,2/22/2024,N/A,,2/08/2024,1.97,Biotechnology: Pharmaceutical Preparations,,
COLB,stocks,20240219205615,$19.01,2/22/2024,0.07574960547080484,,2/09/2024,1.44,Major Banks,,
HEES,stocks,20240219205617,$56.33,2/22/2024,0.01952778270903604,,2/09/2024,1.1,Misc Corporate Leasing Services,,
MCHP,stocks,20240219205618,$82.51,2/22/2024,0.0212822688159011,,2/01/2024,1.756,Semiconductors,,
SGC,stocks,20240219205620,$14.35,2/22/2024,0.039024390243902446,,2/12/2024,0.56,Apparel,,
CG,stocks,20240219205621,$44.87,2/22/2024,0.031201248049921998,,2/06/2024,1.4,Investment Managers,,
TPG,stocks,20240219205623,$43.29,2/22/2024,0.04435204435204435,,2/13/2024,1.92,Investment Managers,,
USLM,stocks,20240219205624,$259.00,2/22/2024,0.003088803088803089,,2/02/2024,0.8,Other Metals and Minerals,,
WAFD,stocks,20240219205626,$29.18,2/22/2024,0.03427004797806717,,2/13/2024,1.0,Major Banks,,
SEB,stocks,20240219205628,"$3,486.04",2/22/2024,0.0025817259698683896,,2/13/2024,9.0,Farming/Seeds/Milling,,
MGA,stocks,20240219205629,$55.62,2/22/2024,0.03308162531463503,,2/09/2024,1.9,Auto Parts:O.E.M.,,
CBT,stocks,20240219205631,$83.83,2/22/2024,0.01908624597399499,,1/12/2024,1.6,Major Chemicals,,
CMI,stocks,20240219205633,$265.80,2/22/2024,0.025282167042889388,,2/13/2024,6.72,Industrial Machinery/Components,,
EFX,stocks,20240219205635,$260.52,2/22/2024,0.005988023952095809,,2/07/2024,1.56,Finance: Consumer Services,,
UL,stocks,20240219205637,$50.09,2/22/2024,0.03754841285685766,,2/09/2024,1.8328,Package Goods/Cosmetics,,
RTX,stocks,20240219205638,$91.79,2/22/2024,0.025710861749645927,,2/02/2024,2.36,Aerospace,,
AVA,stocks,20240219205640,$33.71,2/22/2024,0.05458320973005043,,2/07/2024,1.9,Power Generation,,
BMI,stocks,20240219205642,$156.10,2/22/2024,0.006918641896220372,,2/09/2024,1.08,Industrial Machinery/Components,,
J,stocks,20240219205643,$147.30,2/22/2024,0.007060420909708078,,1/25/2024,1.16,Military/Government/Technical,,
LPX,stocks,20240219205645,$70.04,2/22/2024,0.013706453455168473,,2/09/2024,1.04,Forest Products,,
GSK,stocks,20240219205647,$41.77,2/22/2024,0.03253791716542973,,2/01/2024,1.6242,Biotechnology: Pharmaceutical Preparations,,
RHI,stocks,20240219205648,$82.25,2/22/2024,0.023343465045592704,,2/13/2024,2.12,Professional Services,,
WELL,stocks,20240219205650,$93.74,2/22/2024,0.026029443140601665,,2/13/2024,2.44,Real Estate Investment Trusts,,
ODC,stocks,20240219205652,$69.15,2/22/2024,0.01677512653651482,,12/14/2023,1.16,Miscellaneous manufacturing industries,,
FBP,stocks,20240219205653,$16.94,2/22/2024,0.03305785123966942,,2/08/2024,0.64,Major Banks,,
Symbol,type,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
DX,stocks,20240219205744,$12.49,2/22/2024,0.12489991993594876,,2/13/2024,1.56,Real Estate Investment Trusts,,
PPT,stocks,20240219205745,$3.64,2/22/2024,0.08571428571428572,,1/29/2024,0.312,Finance Companies,,
PIM,stocks,20240219205747,$3.22,2/22/2024,0.08198757763975155,,1/29/2024,0.264,Finance Companies,,
PMM,stocks,20240219205749,$6.19,2/22/2024,0.046138933764135706,,1/29/2024,0.2856,Investment Managers,,
SMG,stocks,20240219205750,$59.73,2/22/2024,0.044198895027624314,,1/22/2024,2.64,Agricultural Chemicals,,
PMO,stocks,20240219205752,$10.52,2/22/2024,0.039923954372623575,,1/26/2024,0.42,Finance Companies,,
WAB,stocks,20240219205753,$133.96,2/22/2024,0.005076142131979696,,2/14/2024,0.8,Railroads,,
MCO,stocks,20240219205755,$373.24,2/22/2024,0.008252063015753939,,2/13/2024,3.4,Finance: Consumer Services,,
ITUB,stocks,20240219205757,$6.93,2/22/2024,0.006277056277056277,,2/08/2024,0.0435,Major Banks,,
FMN,stocks,20240219205758,$11.305,2/22/2024,0.03715170278637771,,2/12/2024,0.42,Investment Managers,,
SHG,stocks,20240219205800,$32.69,2/22/2024,0.04932493117161212,,2/08/2024,1.5812,Major Banks,,
MFD,stocks,20240219205801,$7.43,2/22/2024,0.10767160161507404,,2/12/2024,0.8,"Trusts, Except Educational, Religious, and Charitable",,
EVR,stocks,20240219205803,$185.57,2/22/2024,0.016381958290671985,,1/30/2024,3.04,Investment Managers,,
FGB,stocks,20240219205805,$3.635,2/22/2024,0.0907840440165062,,2/12/2024,0.33,Finance/Investors Services,,
MIXT,stocks,20240219205806,$9.25,2/22/2024,0.026324756756756756,,2/02/2024,0.2413,Computer Software: Prepackaged Software,,
PDM,stocks,20240219205808,$6.77,2/22/2024,0.07385524372230429,,2/01/2024,0.5,Building operators,,
HII,stocks,20240219205810,$284.99,2/22/2024,0.018246254254535247,,2/07/2024,5.2,Metal Fabrications,,
SAVE,stocks,20240219205811,$6.59,2/22/2024,0.18209408194233687,,2/13/2024,0.0,Air Freight/Delivery Services,,
FBIN,stocks,20240219205813,$79.90,2/22/2024,0.01151439299123905,,12/12/2023,0.96,Forest Products,,
MTDR,stocks,20240219205814,$58.98,2/22/2024,0.013563919972872162,,2/13/2024,0.8,Oil & Gas Production,,
NBHC,stocks,20240219205816,$35.06,2/22/2024,0.03080433542498574,,1/18/2024,1.08,Major Banks,,
BCC,stocks,20240219205817,$142.66,2/22/2024,N/A,,2/06/2024,0.8,RETAIL: Building Materials,,
BBWI,stocks,20240219205819,$45.50,2/22/2024,0.017582417582417582,,2/09/2024,0.8,Clothing/Shoe/Accessory Stores,,
OGS,stocks,20240219205821,$61.38,2/22/2024,0.042359074617139135,,1/23/2024,2.64,Oil/Gas Transmission,,
FTV,stocks,20240219205822,$84.61,2/22/2024,0.003782058858290982,,1/23/2024,0.32,Industrial Machinery/Components,,
HLT,stocks,20240219205824,$196.16,2/22/2024,0.003058727569331158,,2/07/2024,0.6,Hotels/Resorts,,
FLNG,stocks,20240219205825,$27.01,2/22/2024,,,2/06/2024,3.0,Marine Transportation,,
STE,stocks,20240219205827,$233.05,2/22/2024,0.00892512336408496,,1/30/2024,2.08,Industrial Specialties,,
OWL,stocks,20240219205828,$18.02,2/22/2024,0.031076581576026642,,2/09/2024,0.56,Investment Managers,,
BOWL,stocks,20240219205830,$13.21,2/22/2024,N/A,,2/05/2024,0.22,Services-Misc. Amusement & Recreation,,
WCRS,stocks,20240219205832,$5.055,2/22/2024,0.019782393669634028,,2/08/2024,0.1,N/A,,
PPBN,stocks,20240219205833,$28.00,2/22/2024,0.03571428571428571,,2/13/2024,1.0,N/A,,
ESYJY,stocks,20240219205835,$7.11,2/22/2024,N/A,,N/A,0.0565,N/A,,
EDVMF,stocks,20240219205836,$16.50,2/22/2024,N/A,,1/31/2024,1.22,N/A,,
MFBP,stocks,20240219205838,$11.90,2/22/2024,0.013445378151260503,,1/23/2024,0.2,N/A,,
SMAL,stocks,20240219205840,$43.00,2/22/2024,0.009302325581395349,,1/23/2024,0.44,N/A,,
CBOBA,stocks,20240219205841,$7.78,2/22/2024,0.02570694087403599,,2/05/2024,0.2,N/A,,
SNLC,stocks,20240219205843,$135.00,2/22/2024,0.014814814814814815,,1/23/2024,2.0,N/A,,
CBCY,stocks,20240219205844,$705.00,2/22/2024,N/A,,2/13/2024,9.0,N/A,,
CBCYB,stocks,20240219205846,$655.00,2/22/2024,N/A,,2/14/2024,9.0,N/A,,
CFIGY,stocks,20240219205848,$43.70,2/22/2024,0.03323935926773455,,N/A,1.5939,N/A,,
BDORY,stocks,20240219205849,$11.63,2/22/2024,0.01802785898538263,,N/A,0.682,N/A,,
BDORY,stocks,20240219205850,$11.63,2/22/2024,0.01802785898538263,,N/A,0.682,N/A,,
MUEL,stocks,20240219205852,$72.00,2/22/2024,0.008333333333333333,,2/09/2024,0.6,N/A,,
LDSCY,stocks,20240219205854,$8.80,2/22/2024,0.031301818181818174,,N/A,0.2821,N/A,,
GMYOY,stocks,20240219205855,$35.72,2/22/2024,0.009785666293393058,,N/A,0.4878,N/A,,
CDW,stocks,20240219205857,$242.75,2/23/2024,0.010216271884654994,,2/19/2024,2.48,Catalog/Specialty Distribution,,
CSPI,stocks,20240219205858,$32.01,2/23/2024,0.0049984379881287105,,2/14/2024,0.16,EDP Services,,
MKSI,stocks,20240219205900,$123.85,2/23/2024,0.007105369398465886,,2/05/2024,0.88,Industrial Machinery/Components,,
TSCO,stocks,20240219205902,$237.66,2/23/2024,0.01733568964066313,,2/05/2024,4.12,RETAIL: Building Materials,,
BC,stocks,20240219205903,$88.09,2/23/2024,0.018163242138721763,,2/15/2024,1.68,Homebuilding,,
Symbol,type,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
NOC,stocks,20240219205954,$450.00,2/23/2024,0.016622222222222222,,2/13/2024,7.48,Industrial Machinery/Components,,
SHW,stocks,20240219205955,$312.51,2/23/2024,0.007743752199929602,,2/14/2024,2.86,RETAIL: Building Materials,,
CRD.B,stocks,20240219205957,N/A,2/23/2024,,,2/08/2024,0.28,N/A,,
HNI,stocks,20240219205958,$43.95,2/23/2024,0.02912400455062571,,2/13/2024,1.28,Office Equipment/Supplies/Services,,
SNA,stocks,20240219210000,$269.00,2/23/2024,0.027657992565055762,,2/15/2024,7.44,Industrial Machinery/Components,,
ATO,stocks,20240219210002,$114.27,2/23/2024,0.02817887459525685,,2/06/2024,3.22,Oil/Gas Transmission,,
RDN,stocks,20240219210003,$28.16,2/23/2024,0.03196022727272727,,2/14/2024,0.98,Property-Casualty Insurers,,
NUS,stocks,20240219210005,$13.82,2/23/2024,0.11287988422575977,,2/14/2024,0.24,Other Pharmaceuticals,,
DINO,stocks,20240219210007,$60.92,2/23/2024,0.02954694681549573,,2/14/2024,2.0,Natural Gas Distribution,,
DAL,stocks,20240219210008,$41.00,2/23/2024,0.00975609756097561,,2/08/2024,0.4,Air Freight/Delivery Services,,
CRD.A,stocks,20240219210010,N/A,2/23/2024,,,2/08/2024,0.28,N/A,,
NTB,stocks,20240219210011,$31.02,2/23/2024,0.05673758865248227,,2/12/2024,1.76,Commercial Banks,,
VOYA,stocks,20240219210013,$68.52,2/23/2024,0.023350846468184475,,1/25/2024,1.6,Life Insurance,,
MUSA,stocks,20240219210015,$392.66,2/23/2024,0.004176641369123414,,2/15/2024,1.68,Retail-Auto Dealers and Gas Stations,,
HR,stocks,20240219210016,$15.59,2/23/2024,0.07953816549069917,,2/13/2024,1.24,Real Estate Investment Trusts,,
CC,stocks,20240219210018,$27.82,2/23/2024,0.035945363048166784,,2/12/2024,1.0,Major Chemicals,,
CVEO,stocks,20240219210020,$22.65,2/23/2024,0.04415011037527594,,2/02/2024,1.0,N/A,,
WHD,stocks,20240219210021,$45.95,2/23/2024,0.01044613710554951,,1/23/2024,0.48,Metal Fabrications,,
EQH,stocks,20240219210023,$34.61,2/23/2024,0.02542617740537417,,2/14/2024,0.88,Specialty Insurers,,
OGN,stocks,20240219210024,$18.62,2/23/2024,0.06015037593984963,,2/15/2024,1.12,Biotechnology: Pharmaceutical Preparations,,
YOU,stocks,20240219210026,$20.35,2/23/2024,,,2/15/2024,0.36,Computer Software: Prepackaged Software,,
MEGI,stocks,20240219210027,$12.28,2/23/2024,0.1221498371335505,,2/14/2024,1.5,Investment Managers,,
PHIN,stocks,20240219210029,$31.89,2/23/2024,0.03135779241141424,,2/01/2024,1.0,N/A,,
HLRD,stocks,20240219210030,$525.00,2/23/2024,0.0380952380952381,,2/08/2024,20.0,N/A,,
HLRD,stocks,20240219210031,$525.00,2/23/2024,0.0380952380952381,,2/08/2024,20.0,N/A,,
