,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
39,CFR^B,20231119205508,$17.86,11/29/2023,6.29%,,10/26/2023,1.1125,N/A,,
40,CUBI^E,20231119205510,$25.30,11/29/2023,10.81%,,10/30/2023,2.7328,N/A,,
41,CUBI^F,20231119205512,$25.13,11/29/2023,10.5%,,10/30/2023,2.6372,N/A,,
42,DOW,20231119205513,$51.44,11/29/2023,5.42%,,10/12/2023,2.8,Major Chemicals,,
43,DD,20231119205515,$70.59,11/29/2023,2.02%,,10/17/2023,1.44,Major Chemicals,,
44,EAI,20231119205516,$21.38,11/29/2023,5.65%,,11/19/2023,1.2188,Electric Utilities: Central,,
45,ELC,20231119205518,$21.65,11/29/2023,5.6%,,11/19/2023,1.2188,Electric Utilities: Central,,
46,EFSCP,20231119205520,$15.4797,11/29/2023,8.08%,,10/23/2023,1.25,Major Banks,,
47,EL,20231119205522,$122.62,11/29/2023,2.13%,,11/01/2023,2.64,Package Goods/Cosmetics,,
48,FCNCO,20231119205524,$20.40,11/29/2023,6.89%,,10/24/2023,1.406252,Major Banks,,
49,FCNCA,20231119205526,"$1,450.80",11/29/2023,0.21%,,10/24/2023,3.0,Major Banks,,
50,FCNCP,20231119205528,$21.29,11/29/2023,6.31%,,10/24/2023,1.343752,Major Banks,,
51,GS,20231119205618,$336.67,11/29/2023,3.24%,,10/12/2023,11.0,Investment Bankers/Brokers/Service,,
52,HUBB,20231119205620,$289.59,11/29/2023,1.49%,,10/27/2023,4.88,Electrical Products,,
53,KREF^A,20231119205621,$17.81,11/29/2023,9.11%,,10/20/2023,1.625,N/A,,
54,MLAB,20231119205623,$91.62,11/29/2023,0.7%,,10/02/2023,0.64,Industrial Machinery/Components,,
55,MDV,20231119205625,$14.98,11/29/2023,7.58%,,10/17/2023,1.15,Transportation Services,,
56,NWL,20231119205627,$7.41,11/29/2023,3.78%,,11/06/2023,0.28,Plastic Products,,
57,NEM,20231119205628,$36.56,11/29/2023,4.4%,,10/26/2023,1.6,Precious Metals,,
58,NEE^R,20231119205630,$37.27,11/29/2023,9.26%,,10/12/2023,3.463,N/A,,
59,NIMC,20231119205632,$103.16,11/29/2023,7.43%,,10/05/2023,7.75,Power Generation,,
60,PTVE,20231119205633,$11.43,11/29/2023,3.5%,,10/30/2023,0.4,Containers/Packaging,,
61,PFIS,20231119205635,$43.19,11/29/2023,3.8%,,10/27/2023,1.64,Major Banks,,
62,POWI,20231119205636,$76.73,11/29/2023,0.99%,,11/19/2023,0.76,Semiconductors,,
63,SQFTP,20231119205638,$12.61,11/29/2023,18.59%,,10/25/2023,2.34372,Real Estate Investment Trusts,,
64,QCOM,20231119205639,$128.70,11/29/2023,2.49%,,10/03/2023,3.2,Radio And Television Broadcasting And Communications Equipment,,
65,RYI,20231119205641,$28.67,11/29/2023,2.46%,,10/30/2023,0.74,Metal Fabrications,,
66,SIGIP,20231119205643,$16.70,11/29/2023,6.89%,,11/01/2023,1.15,Property-Casualty Insurers,,
67,SSTK,20231119205644,$43.94,11/29/2023,2.4%,,10/23/2023,1.08,EDP Services,,
68,SOHOO,20231119205646,$22.50,11/29/2023,8.75%,,10/30/2023,1.96875,Real Estate Investment Trusts,,
69,SOHOB,20231119205647,$22.35,11/29/2023,8.95%,,10/30/2023,2.0,Real Estate Investment Trusts,,
70,SOHON,20231119205649,$22.10,11/29/2023,9.33%,,10/30/2023,2.0625,Real Estate Investment Trusts,,
71,STAG,20231119205650,$35.24,11/29/2023,4.11%,,10/11/2023,1.47,Real Estate Investment Trusts,,
72,SCM,20231119205652,$12.69,11/29/2023,12.56%,,10/05/2023,1.5996,Finance/Investors Services,,
73,SCL,20231119205654,$80.18,11/29/2023,1.81%,,10/17/2023,1.5,Package Goods/Cosmetics,,
74,STEP,20231119205655,$26.23,11/29/2023,3.2%,,11/01/2023,0.84,Finance/Investors Services,,
75,TNC,20231119205657,$86.48,11/29/2023,1.21%,,10/30/2023,1.12,Industrial Machinery/Components,,
76,TTEK,20231119205658,$163.73,11/29/2023,0.64%,,11/13/2023,1.04,Military/Government/Technical,,
77,NBH,20231119205700,$9.6921,11/29/2023,4.65%,,11/15/2023,0.4529,Finance/Investors Services,,
78,GOLD,20231119205702,$15.88,11/29/2023,2.55%,,11/02/2023,0.4,N/A,,
79,ERF,20231119205703,$15.91,11/29/2023,1.48%,,11/02/2023,0.24,Oil & Gas Production,,
80,KGC,20231119205705,$5.43,11/29/2023,2.26%,,11/08/2023,0.12,Precious Metals,,
81,BEP,20231119205707,$24.91,11/29/2023,5.52%,,11/03/2023,1.35,Electric Utilities: Central,,
82,RBA,20231119205708,$61.46,11/29/2023,1.75%,,11/07/2023,1.08,Business Services,,
83,DOV,20231119205710,$137.54,11/29/2023,1.48%,,11/02/2023,2.04,Industrial Machinery/Components,,
84,RYI,20231119205711,$28.67,11/29/2023,2.46%,,10/30/2023,0.74,Metal Fabrications,,
85,NEM,20231119205713,$36.56,11/29/2023,4.4%,,10/26/2023,1.6,Precious Metals,,
86,NC,20231119205715,$35.21,11/29/2023,2.43%,,11/07/2023,0.87,Coal Mining,,
87,SPB,20231119205717,$76.90,11/29/2023,2.48%,,11/14/2023,1.68,Industrial Machinery/Components,,
88,SCL,20231119205718,$80.18,11/29/2023,1.81%,,10/17/2023,1.5,Package Goods/Cosmetics,,
89,RLI,20231119205720,$133.11,11/29/2023,0.81%,,11/08/2023,1.08,Property-Casualty Insurers,,
90,RLI,20231119205721,$133.11,11/29/2023,0.81%,,11/08/2023,1.08,Property-Casualty Insurers,,
91,TNC,20231119205722,$86.48,11/29/2023,1.21%,,10/30/2023,1.12,Industrial Machinery/Components,,
92,BOH,20231119205724,$56.16,11/29/2023,4.93%,,10/23/2023,2.8,Major Banks,,
93,CFR,20231119205726,$98.31,11/29/2023,3.71%,,10/26/2023,3.68,Major Banks,,
94,PBT,20231119205727,$18.24,11/29/2023,2.74%,,11/17/2023,1.8861,Oil & Gas Production,,
95,SJT,20231119205729,$7.28,11/29/2023,8.31%,,11/17/2023,0.2029,Oil & Gas Production,,
96,HD,20231119205730,$306.44,11/29/2023,2.72%,,11/16/2023,8.36,RETAIL: Building Materials,,
97,CPF,20231119205732,$17.69,11/29/2023,5.83%,,10/24/2023,1.04,Major Banks,,
98,CXT,20231119205734,$51.56,11/29/2023,1.05%,,11/06/2023,0.56,Metal Fabrications,,
99,CRT,20231119205735,$18.58,11/29/2023,6.73%,,11/17/2023,1.7999,Oil & Gas Production,,
100,ALL,20231119205737,$134.75,11/29/2023,2.65%,,11/15/2023,3.56,Property-Casualty Insurers,,
101,ADC,20231119205738,$58.24,11/29/2023,5.12%,,11/09/2023,2.964,Real Estate Investment Trusts,,
102,EL,20231119205829,$122.62,11/29/2023,2.13%,,11/01/2023,2.64,Package Goods/Cosmetics,,
103,FDS,20231119205831,$464.28,11/29/2023,0.86%,,11/02/2023,3.92,"Computer Software: Programming, Data Processing",,
104,PXD,20231119205832,$232.35,11/29/2023,3.09%,,11/02/2023,5.0,Oil & Gas Production,,
105,SLG,20231119205834,$33.56,11/29/2023,9.5%,,11/16/2023,3.2496,Real Estate Investment Trusts,,
106,EPR,20231119205835,$45.37,11/29/2023,7.19%,,11/15/2023,3.3,Real Estate Investment Trusts,,
107,GS,20231119205837,$336.67,11/29/2023,3.24%,,10/12/2023,11.0,Investment Bankers/Brokers/Service,,
108,OBDC,20231119205839,$14.42,11/29/2023,9.12%,,11/08/2023,1.4,Investment Managers,,
109,STAG,20231119205840,$35.24,11/29/2023,4.11%,,10/11/2023,1.47,Real Estate Investment Trusts,,
110,BIP,20231119205842,$27.51,11/29/2023,5.59%,,11/01/2023,1.53,Power Generation,,
111,EFC,20231119205843,$12.94,11/29/2023,13.84%,,11/07/2023,1.8,Real Estate,,
112,STNG,20231119205845,$55.39,11/29/2023,1.78%,,11/09/2023,1.4,Marine Transportation,,
113,ORC,20231119205847,$7.09,11/29/2023,19.83%,,11/15/2023,1.44,Real Estate Investment Trusts,,
114,SSTK,20231119205848,$43.94,11/29/2023,2.4%,,10/23/2023,1.08,EDP Services,,
115,SCM,20231119205850,$12.69,11/29/2023,12.56%,,10/05/2023,1.5996,Finance/Investors Services,,
116,EARN,20231119205852,$5.97,11/29/2023,16%,,11/07/2023,0.96,Real Estate Investment Trusts,,
117,ASC,20231119205853,$12.88,11/29/2023,5.75%,,11/07/2023,0.64,Marine Transportation,,
118,TSLX,20231119205855,$20.87,11/29/2023,8.77%,,11/02/2023,1.84,Investment Managers,,
119,HUBB,20231119205857,$289.59,11/29/2023,1.49%,,10/27/2023,4.88,Electrical Products,,
120,BBU,20231119205858,$15.63,11/29/2023,1.62%,,11/02/2023,0.25,Engineering & Construction,,
121,EAI,20231119205900,$21.38,11/29/2023,5.65%,,N/A,1.2188,Electric Utilities: Central,,
122,ELC,20231119205901,$21.65,11/29/2023,5.6%,,N/A,1.2188,Electric Utilities: Central,,
123,ARCH,20231119205903,$153.05,11/29/2023,9.34%,,10/26/2023,0.0,Coal Mining,,
124,DD,20231119205905,$70.59,11/29/2023,2.02%,,10/17/2023,1.44,Major Chemicals,,
125,PRT,20231119205906,$5.05,11/29/2023,9.74%,,11/17/2023,0.4836,Oil & Gas Production,,
126,DOW,20231119205908,$51.44,11/29/2023,5.42%,,10/12/2023,2.8,Major Chemicals,,
127,AEFC,20231119205909,$20.57,11/29/2023,6.17%,,N/A,1.275,N/A,,
128,TFPM,20231119205911,$12.73,11/29/2023,1.68%,,11/07/2023,0.21,N/A,,
129,BIPC,20231119205912,$31.74,11/29/2023,4.82%,,11/01/2023,1.53,N/A,,
130,BEPC,20231119205914,$26.45,11/29/2023,5.21%,,11/03/2023,1.35,Electric Utilities: Central,,
131,VNT,20231119205916,$33.76,11/29/2023,0.29%,,11/13/2023,0.1,Industrial Machinery/Components,,
132,NIMC,20231119205917,$103.16,11/29/2023,7.43%,,10/05/2023,7.75,Power Generation,,
133,AIC,20231119205919,$24.43,11/29/2023,6.92%,,N/A,1.6875,Real Estate Investment Trusts,,
134,JXN,20231119205920,$45.11,11/29/2023,5.42%,,11/08/2023,2.48,Life Insurance,,
135,PX,20231119205922,$9.24,11/29/2023,1.42%,,11/09/2023,0.13,Investment Managers,,
136,MDV,20231119205924,$14.98,11/29/2023,7.58%,,10/17/2023,1.15,Transportation Services,,
137,BBUC,20231119205925,$16.52,11/29/2023,1.54%,,11/03/2023,0.25,N/A,,
138,BAM,20231119205927,$33.47,11/29/2023,3.81%,,11/06/2023,1.28,Building operators,,
139,BN,20231119205929,$34.07,11/29/2023,0.83%,,11/09/2023,0.28,Other Consumer Services,,
140,CR,20231119205931,$105.68,11/29/2023,0.68%,,10/23/2023,0.72,Office Equipment/Supplies/Services,,
141,CBOE,20231119205932,$177.79,11/29/2023,1.25%,,10/27/2023,2.2,Investment Bankers/Brokers/Service,,
142,TVNB,20231119205934,$55.00,11/29/2023,1.16%,,11/09/2023,0.64,N/A,,
143,MCPB,20231119205936,$23.00,11/29/2023,5.22%,,11/17/2023,1.2,N/A,,
144,UBOH,20231119205937,$17.20,11/29/2023,5.1%,,10/19/2023,0.88,N/A,,
145,LYBC,20231119205939,$45.00,11/29/2023,3.04%,,10/31/2023,1.4,N/A,,
146,TRVR,20231119205941,$40.00,11/29/2023,1.7%,,11/15/2023,0.68,N/A,,
147,MHCUF,20231119205942,$15.10,11/29/2023,3.72%,,11/15/2023,0.5904,N/A,,
148,FCNCB,20231119205944,"$1,269.99",11/29/2023,0.23%,,10/24/2023,6.56,N/A,,
149,SEBC,20231119205945,$17.00,11/29/2023,4.24%,,11/16/2023,0.72,N/A,,
150,FULO,20231119205947,$0.25,11/29/2023,N/A,,11/15/2023,0.0132,N/A,,
151,SFDL,20231119205949,$21.00,11/29/2023,2.48%,,10/19/2023,0.52,N/A,,
152,CRPJY,20231119205950,$28.065,11/29/2023,4.12%,,N/A,1.8213,N/A,,
153,NEEXU,20231119210041,$45.50,11/29/2023,7.61%,,10/04/2023,3.463,N/A,,
154,SRRTF,20231119210043,$7.49,11/29/2023,11.41%,,11/15/2023,0.864,N/A,,
155,JEHLY,20231119210044,$14.50,11/29/2023,5.3%,,N/A,0.348,N/A,,
156,BSRTF,20231119210046,$10.60,11/29/2023,4.87%,,11/15/2023,0.5196,N/A,,
157,TRFPF,20231119210047,$10.87,11/29/2023,1.93%,,11/07/2023,0.21,N/A,,
158,NETTF,20231119210049,$22.068,11/29/2023,1.87%,,N/A,0.396,N/A,,
159,WRLC,20231119210051,$560.00,11/29/2023,2.07%,,11/16/2023,12.0,N/A,,
160,PDER,20231119210053,$250.00,11/29/2023,2.91%,,11/13/2023,7.2,N/A,,
161,BPHLY,20231119210055,$37.00,11/29/2023,2.12%,,N/A,0.8049,N/A,,
162,ACNB,20231119210056,$38.40,11/30/2023,2.92%,,10/17/2023,1.12,Major Banks,,
163,WMS,20231119210058,$118.76,11/30/2023,0.47%,,11/02/2023,0.56,Containers/Packaging,,
164,AEM,20231119210100,$48.71,11/30/2023,3.31%,,10/25/2023,1.6,Precious Metals,,
165,AMSF,20231119210101,$49.71,11/30/2023,2.74%,,10/24/2023,1.36,Property-Casualty Insurers,,
166,ARGD,20231119210103,$22.22,11/30/2023,7.27%,,11/19/2023,1.625,Specialty Insurers,,
167,AROW,20231119210104,$24.33,11/30/2023,4.31%,,10/25/2023,1.048544,Major Banks,,
168,AJG,20231119210106,$245.51,11/30/2023,0.9%,,10/25/2023,2.2,Specialty Insurers,,
169,ASB,20231119210108,$17.92,11/30/2023,4.62%,,10/24/2023,0.88,Major Banks,,
170,ASB^E,20231119210109,$18.55,11/30/2023,7.98%,,10/24/2023,1.4688,N/A,,
171,ASB^F,20231119210111,$17.42,11/30/2023,8.01%,,10/24/2023,1.4062,N/A,,
172,ATLCP,20231119210112,$20.9099,11/30/2023,9.12%,,11/13/2023,1.906252,Finance: Consumer Services,,
173,ATRI,20231119210114,$293.40,11/30/2023,3%,,11/13/2023,8.8,Medical/Dental Instruments,,
174,AGR,20231119210116,$31.67,11/30/2023,5.7%,,10/18/2023,1.76,Electric Utilities: Central,,
175,BALL,20231119210117,$51.87,11/30/2023,1.53%,,10/25/2023,0.8,Containers/Packaging,,
176,BAC,20231119210119,$29.54,11/30/2023,3.2%,,10/18/2023,0.96,Major Banks,,
177,BAC^N,20231119210120,$20.75,11/30/2023,6.01%,,10/16/2023,1.25,N/A,,
178,BAC^M,20231119210122,$22.27,11/30/2023,6.02%,,10/16/2023,1.3438,N/A,,
179,BAFN,20231119210124,$10.25,11/30/2023,3.12%,,10/24/2023,0.32,Savings Institutions,,
180,BGFV,20231119210125,$5.47,11/30/2023,18.28%,,10/26/2023,1.0,Other Specialty Stores,,
181,BCC,20231119210127,$110.71,11/30/2023,0.71%,,10/26/2023,0.8,RETAIL: Building Materials,,
182,BCC,20231119210128,$110.71,11/30/2023,0.71%,,10/26/2023,0.8,RETAIL: Building Materials,,
183,BHFAL,20231119210130,$21.07,11/30/2023,7.42%,,11/19/2023,1.5625,Life Insurance,,
184,BPYPN,20231119210131,$11.50,11/30/2023,12.5%,,10/31/2023,1.4375,Real Estate,,
185,BPYPM,20231119210133,$13.18,11/30/2023,11.86%,,10/31/2023,1.5625,Finance/Investors Services,,
186,BPYPO,20231119210134,$12.90,11/30/2023,12.35%,,10/31/2023,1.59375,Real Estate,,
187,BPYPP,20231119210136,$13.07,11/30/2023,12.43%,,10/31/2023,1.625,Finance/Investors Services,,
188,CRC,20231119210138,$51.28,11/30/2023,2.16%,,11/01/2023,1.13,Oil & Gas Production,,
189,GTLS^B,20231119210139,$51.25,11/30/2023,6.44%,,10/04/2023,3.375,N/A,,
190,CHDN,20231119210141,$119.98,11/30/2023,0.3%,,11/19/2023,0.357,Services-Misc. Amusement & Recreation,,
191,CWEN.A,20231119210143,N/A,11/30/2023,6.54%,,11/01/2023,1.5564,N/A,,
192,CWEN,20231119210144,$22.63,11/30/2023,6.87%,,11/01/2023,1.5564,Electric Utilities: Central,,
193,CCNE,20231119210146,$20.93,11/30/2023,3.34%,,11/14/2023,0.7,Major Banks,,
194,KO,20231119210147,$57.15,11/30/2023,3.21%,,10/19/2023,1.84,Beverages (Production/Distribution),,
195,CIX,20231119210149,$21.08,11/30/2023,4.69%,,11/01/2023,1.0,Industrial Machinery/Components,,
196,CRK,20231119210151,$10.75,11/30/2023,4.59%,,10/30/2023,0.5,Oil & Gas Production,,
197,EBC,20231119210153,$12.47,11/30/2023,3.21%,,10/26/2023,0.4,Accident &Health Insurance,,
198,EBAY,20231119210154,$40.18,11/30/2023,2.49%,,11/03/2023,1.0,Business Services,,
199,EXPD,20231119210156,$117.81,11/30/2023,1.17%,,11/06/2023,1.38,Oil Refining/Marketing,,
200,FGFPP,20231119210157,$13.80,11/30/2023,14.49%,,11/09/2023,2.0,Property-Casualty Insurers,,
201,FFBC,20231119210159,$20.53,11/30/2023,4.48%,,10/24/2023,0.92,Major Banks,,
202,FRME,20231119210201,$31.56,11/30/2023,4.31%,,11/09/2023,1.36,Major Banks,,
203,FNCB,20231119210202,$6.19,11/30/2023,5.82%,,10/25/2023,0.36,Major Banks,,
204,FTAIO,20231119210253,$24.74,11/30/2023,8.08%,,10/25/2023,2.0,Misc Corporate Leasing Services,,
205,FTAIN,20231119210255,$23.75,11/30/2023,8.68%,,10/25/2023,2.06252,Misc Corporate Leasing Services,,
206,FTAIP,20231119210256,$24.45,11/30/2023,8.44%,,10/25/2023,2.06252,Misc Corporate Leasing Services,,
207,FTAIM,20231119210258,$25.20,11/30/2023,9.42%,,10/25/2023,2.375,Misc Corporate Leasing Services,,
208,FF,20231119210300,$6.05,11/30/2023,3.88%,,1/04/2023,0.24,Major Chemicals,,
209,GCMG,20231119210301,$8.49,11/30/2023,5.18%,,11/07/2023,0.44,Finance/Investors Services,,
210,GM,20231119210303,$27.48,11/30/2023,1.28%,,10/23/2023,0.36,Auto Manufacturing,,
211,HWCPZ,20231119210304,$22.94,11/30/2023,6.81%,,11/19/2023,1.5625,Major Banks,,
212,HIG,20231119210306,$76.35,11/30/2023,2.22%,,10/26/2023,1.88,Property-Casualty Insurers,,
213,HQI,20231119210308,$13.91,11/30/2023,1.73%,,11/14/2023,0.24,Professional Services,,
214,HLI,20231119210309,$104.43,11/30/2023,2.11%,,10/26/2023,2.2,Investment Managers,,
215,IBKR,20231119210311,$78.50,11/30/2023,0.51%,,10/17/2023,0.4,Investment Bankers/Brokers/Service,,
216,TILE,20231119210312,$9.97,11/30/2023,0.4%,,11/14/2023,0.04,Home Furnishings,,
217,IPG,20231119210314,$29.83,11/30/2023,4.09%,,10/30/2023,1.24,Advertising,,
218,ITIC,20231119210316,$150.17,11/30/2023,1.23%,,11/06/2023,1.84,Specialty Insurers,,
219,ITT,20231119210317,$107.83,11/30/2023,1.07%,,10/31/2023,1.16,Fluid Controls,,
220,JKHY,20231119210319,$153.41,11/30/2023,1.36%,,11/14/2023,2.08,EDP Services,,
221,K,20231119210321,$52.20,11/30/2023,N/A,,10/27/2023,2.24,Packaged Foods,,
222,KRO,20231119210322,$8.57,11/30/2023,8.75%,,10/25/2023,0.76,Major Chemicals,,
223,LFVN,20231119210324,$4.89,11/30/2023,2.86%,,11/06/2023,0.14,Biotechnology: Pharmaceutical Preparations,,
224,LMT,20231119210325,$445.59,11/30/2023,2.7%,,10/06/2023,12.6,Aerospace,,
225,MTB^H,20231119210327,$24.00,11/30/2023,5.85%,,10/17/2023,1.4062,N/A,,
226,MCK,20231119210329,$450.78,11/30/2023,0.55%,,10/26/2023,2.48,Other Pharmaceuticals,,
227,MBWM,20231119210331,$36.06,11/30/2023,3.77%,,10/12/2023,1.36,Major Banks,,
228,MGEE,20231119210332,$74.54,11/30/2023,2.29%,,10/20/2023,1.71,Electric Utilities: Central,,
229,MBCN,20231119210334,$28.15,11/30/2023,2.84%,,11/13/2023,0.8,Major Banks,,
230,MOFG,20231119210335,$21.43,11/30/2023,4.53%,,10/24/2023,0.97,Major Banks,,
231,MLKN,20231119210337,$24.77,11/30/2023,3.03%,,10/17/2023,0.75,Office Equipment/Supplies/Services,,
232,MCRI,20231119210338,$63.82,11/30/2023,1.88%,,2/06/2023,1.2,Hotels/Resorts,,
233,NSSC,20231119210340,$27.68,11/30/2023,1.16%,,11/02/2023,0.32,Telecommunications Equipment,,
234,NBTB,20231119210342,$36.41,11/30/2023,3.52%,,10/23/2023,1.28,Major Banks,,
235,NTST,20231119210344,$15.83,11/30/2023,5.18%,,10/25/2023,0.82,Real Estate Investment Trusts,,
236,NL,20231119210345,$5.08,11/30/2023,5.36%,,10/26/2023,0.28,Major Chemicals,,
237,NS^B,20231119210347,$25.48,11/30/2023,10.93%,,10/25/2023,2.8287,N/A,,
238,NS^A,20231119210349,$25.7959,11/30/2023,11.92%,,10/25/2023,3.1094,N/A,,
239,NS^C,20231119210350,$25.73,11/30/2023,12.02%,,10/25/2023,3.1379,N/A,,
240,OAK^B,20231119210352,$20.43,11/30/2023,8.07%,,10/30/2023,1.6375,N/A,,
241,OAK^A,20231119210353,$20.85,11/30/2023,8%,,10/30/2023,1.6563,N/A,,
242,ONB,20231119210355,$14.91,11/30/2023,3.76%,,11/15/2023,0.56,Major Banks,,
243,ZEUS,20231119210357,$55.81,11/30/2023,0.9%,,11/02/2023,0.5,Metal Fabrications,,
244,OTEX,20231119210358,$38.52,11/30/2023,2.6%,,11/01/2023,1.0,EDP Services,,
245,PANL,20231119210400,$7.09,11/30/2023,5.64%,,11/08/2023,0.4,Marine Transportation,,
246,PTEN,20231119210401,$11.52,11/30/2023,2.78%,,11/07/2023,0.32,Oil & Gas Production,,
247,PRDO,20231119210403,$18.07,11/30/2023,2.44%,,11/02/2023,0.44,Other Consumer Services,,
248,PII,20231119210404,$90.66,11/30/2023,2.82%,,10/26/2023,2.6,Industrial Specialties,,
249,PINC,20231119210406,$20.52,11/30/2023,4.09%,,10/26/2023,0.84,Other Consumer Services,,
250,PFG,20231119210407,$71.48,11/30/2023,3.64%,,10/25/2023,2.6,Specialty Insurers,,
251,PRGS,20231119210409,$53.52,11/30/2023,1.31%,,9/20/2023,0.7,Computer Software: Prepackaged Software,,
252,METC,20231119210411,$16.63,11/30/2023,3.01%,,11/19/2023,0.5,Coal Mining,,
253,METCB,20231119210412,$13.47,11/30/2023,4.91%,,11/19/2023,0.6616,Coal Mining,,
254,RF^B,20231119210414,$22.49,11/30/2023,7.11%,,10/18/2023,1.5938,N/A,,
255,RF^E,20231119210504,$16.42,11/30/2023,6.71%,,10/18/2023,1.1125,N/A,,
256,RCKY,20231119210506,$24.45,11/30/2023,2.54%,,11/15/2023,0.62,Shoe Manufacturing,,
257,SAFT,20231119210507,$77.18,11/30/2023,4.66%,,11/01/2023,3.6,Property-Casualty Insurers,,
258,SEE,20231119210509,$33.15,11/30/2023,2.4%,,10/20/2023,0.8,Major Chemicals,,
259,SLGN,20231119210511,$42.05,11/30/2023,1.71%,,10/31/2023,0.72,Containers/Packaging,,
260,SBGI,20231119210512,$13.27,11/30/2023,7.54%,,11/01/2023,1.0,Broadcasting,,
261,SOI,20231119210514,$8.56,11/30/2023,5.05%,,10/26/2023,39.5482,Metal Fabrications,,
262,SWK,20231119210515,$90.10,11/30/2023,3.53%,,10/24/2023,3.24,Industrial Machinery/Components,,
263,TMUS,20231119210517,$147.49,11/30/2023,N/A,,9/25/2023,0.0,Telecommunications Equipment,,
